Entity,weight,maxQuantityPerCell,maxDistance,saturationKgs,species
wolf,50,30,3,8,predator
boa,15,30,1,3,predator
fox,8,30,2,2,predator
bear,500,5,2,80,predator
eagle,6,20,3,1,predator
horse,400,20,4,60,herbivorous
deer,300,20,4,50,herbivorous
rabbit,2,150,2,"0.45",herbivorous
mouse,0.05,500,1,0.01,herbivorous
goat,60,140,3,10,herbivorous
sheep,70,140,3,15,herbivorous
boar,400,50,2,50,herbivorous
buffalo,700,10,3,100,herbivorous
duck,1,200,4,"0.15",herbivorous
caterpillar,"0.01",1000,0,0,herbivorous
plant,1,200,0,0,plant
